,Coin 0,Coin 1,Coin 2,Coin 3
2833,86.86202240--127.40483856,62.11170578--55.01081467,63.26452255--82.64401245,86.00135803--92.57681274
2834,86.76889038--127.48321533,61.37567520--55.16736221,63.37234879--82.92622375,85.66618347--92.55429077
2835,86.66152191--127.52400970,60.31382751--55.37319946,63.57828903--83.18021393,85.28092957--92.55929565
2836,86.52752686--127.51210785,58.89434433--55.62950134,63.89271545--83.39807892,84.85515594--92.59951782
2837,86.36282349--127.44232941,57.13044357--55.93088913,64.31359863--83.57328033,84.39546204--92.67695618
2838,86.16457367--127.31306458,55.04967880--56.27194595,64.83480835--83.70238495,83.91065216--92.79139709
2839,85.95042419--127.10607910,52.74160385--56.64603043,65.45156097--83.70169830,83.45188141--92.93978119
2840,85.75047302--126.78906250,50.31151581--57.03308487,66.16266632--83.45500946,83.09135437--93.10950470
2841,85.54264069--126.36824799,47.78726578--57.39762878,66.94888306--83.04153442,82.81642151--93.28632355
2842,85.29216766--125.87905884,45.26455307--57.76380539,67.83244324--82.51157379,82.70890808--93.48149872
2843,85.02254486--125.31496429,42.90539169--58.08515930,68.74807739--81.92961884,82.74864197--93.66610718
2844,84.78297424--124.67420197,41.21792984--58.23230362,69.48015594--81.41254425,82.91055298--93.78550720
2845,84.62048340--123.97391510,40.97852707--58.04065704,69.79181671--80.95714569,83.31357574--93.79003906
2846,84.68824768--123.34558868,42.18703079--57.55387878,69.68309784--80.49662018,83.90340424--93.72673035
2847,84.95883179--122.92548370,44.81834793--56.83277130,69.13758850--80.04499054,84.67630005--93.62918091
2848,85.43589783--122.84021759,48.30091858--56.06498337,68.31501770--79.59580231,85.53153229--93.56297302
2849,86.03867340--123.08783722,51.34854507--55.56349564,67.57894897--79.15934753,86.26742554--93.57439423
2850,86.58834839--123.52126312,53.74603271--55.29119492,66.94957733--78.96191406,86.81682587--93.56757355
2851,86.90995026--123.91770172,55.71567535--55.12197876,66.45707703--78.75728607,87.32903290--93.61413574
2852,87.13514709--124.25723267,57.26162720--54.96309662,66.06434631--78.65625000,87.67562866--93.64185333
2853,87.27169800--124.58322144,58.51866913--54.81749344,65.70231628--78.70348358,87.86622620--93.64067078
2854,87.34717560--124.89437103,59.53102875--54.71028137,65.36890411--78.84020233,87.96752930--93.61917877
2855,87.38480377--125.18849945,60.28317642--54.66406250,65.07815552--79.03659821,87.97966003--93.56746674
2856,87.38623047--125.45192719,60.89899063--54.63788223,64.80801392--79.27645111,87.95700836--93.49037170
2857,87.37217712--125.68370819,61.41508865--54.61972427,64.56289673--79.52765656,87.90696716--93.40805817
2858,87.34791565--125.90898895,61.86851883--54.60670090,64.32762146--79.81211090,87.81338501--93.31440735
2859,87.31272888--126.12990570,62.25625992--54.60439682,64.10190582--80.12656403,87.68662262--93.21304321
2860,87.27099609--126.33911896,62.55965042--54.61510086,63.89701843--80.45383453,87.53532410--93.11013031
2861,87.22354126--126.53694916,62.78938675--54.63434219,63.71233749--80.79018402,87.36307526--93.00780487
2862,87.17184448--126.72039795,62.94638443--54.66132736,63.55071259--81.12552643,87.17755127--92.91087341
2863,87.11605835--126.89914703,63.02668762--54.69847870,63.40996552--81.46853638,86.96612549--92.81719208
2864,87.05444336--127.07032776,62.99045563--54.75417709,63.30094147--81.81699371,86.72543335--92.72982788
2865,86.98591614--127.22182465,62.79488373--54.83369064,63.24022675--82.15571594,86.46102142--92.65573883
2866,86.90919495--127.34840393,62.41042709--54.94017410,63.23822784--82.47691345,86.17057800--92.59901428
2867,86.82168579--127.44417572,61.81081772--55.07693863,63.30373001--82.77399445,85.85465240--92.56375122
2868,86.72223663--127.50682831,60.94189072--55.25330353,63.45160675--83.04486847,85.49938965--92.55276489
2869,86.60467529--127.52547455,59.73130035--55.48015594,63.70312119--83.28276825,85.09770203--92.57262421
2870,86.45893860--127.48866272,58.15932846--55.75685501,64.06500244--83.48105621,84.65643311--92.62899780
2871,86.28061676--127.39196014,56.24090195--56.07842255,64.53451538--83.63445282,84.18251038--92.72338867
2872,86.06617737--127.23484039,54.01813889--56.43754196,65.10176849--83.74169922,83.68827820--92.85462189
2873,85.85953522--126.97550201,51.66772079--56.82094193,65.75959778--83.61222076,83.28085327--93.01461029
2874,85.65824890--126.61505890,49.19057083--57.19980240,66.50559998--83.29167938,82.95614624--93.18789673
2875,85.44259644--126.14774323,46.66919327--57.54572678,67.31397247--82.81070709,82.72945404--93.36432648
2876,85.16806030--125.63534546,44.19409561--57.91349030,68.24380493--82.24193573,82.72341919--93.56747437
2877,84.92250061--125.03788757,41.95750809--58.19688034,69.13473511--81.68125153,82.78582764--93.73567200
2878,84.67626953--124.35541534,40.92827225--58.18441010,69.67135620--81.20841217,83.06832123--93.79730225
2879,84.62516785--123.67559052,41.33515549--57.85637283,69.79822540--80.75417328,83.55052185--93.76864624
2880,84.78276062--123.12310028,43.15760422--57.26411819,69.50268555--80.28957367,84.22042084--93.68642426
2881,85.13831329--122.83998871,46.41159058--56.45689392,68.75846100--79.86731720,85.06658936--93.58197021
2882,85.70317078--122.91860199,49.77375793--55.80096054,67.96294403--79.36975861,85.89241028--93.56903076
2883,86.31331635--123.28389740,52.49704742--55.43008804,67.28559875--79.05126190,86.53313446--93.57824707
2884,86.75392914--123.70301056,54.68786240--55.20907974,66.71554565--78.85204315,87.06451416--93.58738708
2885,87.02419281--124.06974792,56.45131302--55.04864883,66.27673340--78.68994141,87.50758362--93.63025665
2886,87.20571899--124.40402985,57.84386063--54.89683914,65.90246582--78.66262054,87.76947784--93.64392853
2887,87.30894470--124.72660065,59.01955414--54.75816727,65.54224396--78.76358795,87.92285156--93.63164520
2888,87.36873627--125.03052521,59.89592361--54.68551636,65.23310089--78.92189026,87.98069000--93.60081482
2889,87.38894653--125.31067657,60.57676315--54.65047073,64.95355988--79.14016724,87.97538757--93.53463745
2890,87.38212585--125.55698395,61.14102173--54.62869644,64.69670868--79.38347626,87.94111633--93.45535278
2891,87.36338043--125.78394318,61.62405396--54.61293793,64.45793152--79.64832306,87.87081909--93.36808777
2892,87.33297729--126.01151276,62.05647659--54.60337448,64.22221375--79.95403290,87.75747681--93.26818848
2893,87.29421997--126.22666168,62.40361404--54.60825729,64.00598907--80.27455902,87.62052155--93.16629028
2894,87.25014496--126.42980957,62.67250061--54.62283325,63.81094742--80.60507965,87.46022797--93.06357574
2895,87.20096588--126.61975861,62.86907196--54.64525223,63.63742828--80.93921661,87.28329468--92.96409607
2896,87.14781189--126.80006409,62.99419785--54.67593384,63.48516083--81.27632141,87.08779907--92.86891174
2897,87.08924866--126.97917175,63.02900314--54.72071457,63.35514832--81.62681580,86.85945129--92.77615356
2898,87.02420044--127.14218140,62.92251205--54.78741837,63.26676941--81.97290039,86.60800171--92.69418335
2899,86.95210266--127.28246307,62.64614868--54.87829208,63.23133850--82.30396271,86.33302307--92.62764740
2900,86.87107849--127.39509583,62.17179108--54.99708176,63.25818634--82.61348724,86.03325653--92.58042908
2901,86.77891541--127.47666168,61.46311188--55.14955521,63.35761261--82.89852142,85.70234680--92.55550385
2902,86.67323303--127.52185822,60.44048691--55.34936905,63.55179977--83.15579987,85.32315063--92.55731201
2903,86.54276276--127.51598358,59.06133270--55.60006714,63.85416794--83.37737274,84.90193939--92.59353638
2904,86.38196564--127.45243073,57.33122635--55.89730453,64.26464844--83.55672455,84.44512177--92.66706848
2905,86.18730164--127.32905579,55.27804565--56.23513412,64.77689362--83.69036865,83.96179962--92.77790833
2906,85.97093201--127.13317871,52.97930527--56.60686493,65.38445282--83.71814728,83.49206543--92.92345428
2907,85.77041626--126.82642365,50.56784439--56.99390793,66.08508301--83.48917389,83.12460327--93.09159851
2908,85.56445312--126.41743469,48.05116653--57.36154938,66.86421967--83.09287262,82.84001923--93.26786041
2909,85.32074738--125.93254089,45.52389908--57.72522354,67.73500061--82.57145691,82.70957947--93.46026611
2910,85.04750824--125.37522125,43.14030838--58.05443954,68.65561676--81.98414612,82.74458313--93.64831543
2911,84.81030273--124.74315643,41.31056595--58.23577881,69.42992401--81.45803070,82.87931824--93.77976227
2912,84.62298584--124.04177094,40.92644119--58.07532883,69.78181458--81.00418091,83.26208496--93.79265594
2913,84.66993713--123.40135193,41.98805618--57.61642838,69.71656799--80.54629517,83.83110046--93.73542786
2914,84.92016602--122.95312500,44.46085739--56.92069244,69.22075653--80.08858490,84.58504486--93.64104462
2915,85.37341309--122.82886505,47.96215439--56.12904358,68.39389801--79.65213776,85.44690704--93.56192017
2916,85.97334290--123.04593658,51.07892227--55.59674454,67.64631653--79.18744659,86.20472717--93.57309723
2917,86.54292297--123.47570038,53.52675629--55.31417465,67.01109314--78.97471619,86.76718903--93.57098389
2918,86.88394928--123.87751770,55.53343582--55.13755035,66.50432587--78.77062225,87.28372192--93.61003113
2919,87.11685181--124.22084808,57.11715317--54.97837448,66.10405731--78.65732574,87.64902496--93.64068604
2920,87.26113129--124.54949951,58.39521408--54.83245468,65.74011230--78.69299316,87.84907532--93.64167786
2921,87.34039307--124.86355591,59.44576263--54.71676254,65.39885712--78.82576752,87.96184540--93.62154388
2922,87.38279724--125.15965271,60.21674347--54.66718674,65.10598755--79.01364899,87.98149109--93.57469940
2923,87.38749695--125.42601776,60.84196472--54.63988113,64.83473969--79.24974823,87.96186829--93.49911499
2924,87.37458038--125.65976715,61.36552048--54.62113953,64.58801270--79.49892426,87.91503143--93.41746521
2925,87.35130310--125.88530731,61.82390976--54.60759354,64.35221100--79.77987671,87.82527924--93.32489014
2926,87.31664276--126.10863495,62.22224808--54.60365295,64.12333679--80.09476471,87.69990540--93.22309875
2927,87.27536011--126.31876373,62.53313065--54.61358643,63.91641617--80.42075348,87.55157471--93.12044525
2928,87.22863007--126.51719666,62.76959229--54.63198471,63.73015594--80.75551605,87.38183594--93.01814270
2929,87.17749023--126.70142365,62.93392944--54.65799332,63.56656647--81.08998871,87.19838715--92.92089844
2930,87.12226868--126.88044739,63.02346802--54.69372177,63.42350006--81.43174744,86.99008179--92.82691193
2931,87.06114960--127.05410004,63.00164795--54.74734879,63.30977631--81.78198242,86.75056458--92.73803711
2932,86.99314117--127.20783997,62.82262039--54.82459641,63.24375153--82.12256622,86.48854065--92.66239166
2933,86.91728210--127.33684540,62.45933533--54.92795563,63.23529816--82.44549561,86.20145416--92.60383606
2934,86.83113861--127.43569183,61.88527298--55.06093216,63.29311752--82.74456787,85.88925171--92.56632996
2935,86.73332214--127.50213623,61.04894257--55.23240280,63.43125153--83.01802063,85.53900146--92.55255890
2936,86.61848450--127.52616882,59.87168121--55.45470047,63.67253876--83.25967407,85.14048004--92.56888580
2937,86.47527313--127.49509430,58.33326340--55.72700119,64.02381897--83.46274567,84.70240784--92.62158966
2938,86.29994202--127.40460205,56.44992447--56.04398727,64.48217010--83.62142181,84.23156738--92.71210480
2939,86.08911896--127.25402069,54.26057434--56.39875793,65.03844452--83.73400116,83.73947144--92.83942413
2940,85.88069153--127.00727081,51.91963577--56.78018951,65.68669891--83.63518524,83.31954956--92.99690247
2941,85.67994690--126.65703583,49.45090866--57.16170120,66.42526245--83.33191681,82.98597717--93.16967773
2942,85.46701050--126.19898987,46.92718887--57.51074982,67.22734833--82.86497498,82.74580383--93.34568787
2943,85.19728851--125.69402313,44.43676376--57.88106155,68.14924622--82.30619049,82.71772766--93.54844666
2944,84.94499969--125.10449219,42.16855621--58.17401505,69.04692078--81.73985291,82.77525330--93.72077942
2945,84.69984436--124.43188477,40.98021317--58.20009995,69.63098907--81.25540924,83.02960205--93.79656982
2946,84.62238312--123.74478149,41.23241043--57.90396118,69.80280304--80.79994965,83.49372864--93.77491760
2947,84.75830078--123.17139435,42.91737747--57.33325577,69.54939270--80.33683014,84.14584351--93.69557190
2948,85.09465027--122.85501099,46.03618622--56.54309464,68.84870911--79.90756989,84.97634888--93.59234619
2949,85.64151764--122.89687347,49.43596268--55.85954285,68.04447174--79.42046356,85.81012726--93.56730652
2950,86.25146484--123.23781586,52.23945618--55.45897675,67.35183716--79.07495880,86.47338867--93.57768250
2951,86.71887970--123.66152191,54.48052597--55.22554398,66.76551819--78.87717438,87.00799561--93.58145905
2952,86.99949646--124.03621674,56.29028702--55.06521988,66.31627655--78.70404053,87.46932983--93.62703705
2953,87.19090271--124.37067413,57.71476364--54.91172409,65.93917084--78.65875244,87.75053406--93.64410400
2954,87.30148315--124.69368744,58.90883255--54.77079391,65.57867432--78.74790955,87.91182709--93.63433075
2955,87.36462402--124.99938965,59.81433105--54.69068909,65.26430511--78.90161133,87.97872162--93.60574341
2956,87.38839722--125.28334045,60.51161575--54.65323257,64.98163605--79.11631775,87.97657776--93.54225159
2957,87.38314819--125.53360748,61.08736038--54.63069534,64.72155762--79.35920715,87.94496918--93.46336365
2958,87.36552429--125.76105499,61.57699203--54.61447144,64.48184967--79.62018585,87.87983704--93.37744141
2959,87.33660126--125.98789215,62.01428604--54.60393906,64.24636841--79.92073822,87.77107239--93.27899933
2960,87.29866028--126.20430756,62.37066650--54.60718536,64.02799225--80.23979950,87.63641357--93.17723083
2961,87.25503540--126.40926361,62.64793015--54.62086487,63.83034134--80.57027435,87.47767639--93.07421112
2962,87.20616913--126.60119629,62.85207748--54.64265823,63.65409851--80.90537262,87.30157471--92.97393036
2963,87.15335083--126.78189087,62.98445892--54.67245102,63.49980927--81.24173737,87.10878754--92.87844849
2964,87.09548950--126.96085358,63.03070831--54.71522903,63.36714935--81.59033966,86.88459778--92.78547668
2965,87.03133392--127.12580109,62.94133377--54.77924347,63.27378082--81.93689728,86.63579559--92.70222473
2966,86.96012115--127.26900482,62.68402481--54.86749649,63.23228836--82.27008057,86.36293030--92.63377380
2967,86.88008118--127.38500214,62.23005295--54.98357391,63.25248718--82.58261871,86.06503296--92.58428955
2968,86.78886414--127.46981049,61.54733276--55.13225555,63.34384155--82.87052155,85.73788452--92.55696869
2969,86.68472290--127.51923370,60.56220245--55.32631302,63.52676392--83.13107300,85.36451721--92.55568695
2970,86.55749512--127.51921844,59.22332001--55.57134628,63.81703949--83.35639954,84.94801331--92.58801270
2971,86.40052032--127.46190643,57.52861404--55.86410522,64.21668243--83.53993988,84.49446869--92.65757751
2972,86.20962524--127.34452057,55.50406647--56.19858551,64.71973419--83.67801666,84.01283264--92.76475525
2973,85.99136353--127.15950775,53.21423721--56.56805038,65.31844330--83.73354340,83.53240967--92.90740204
2974,85.79019928--126.86255646,50.82149887--56.95487976,66.00873566--83.52164459,83.15845490--93.07394409
2975,85.58602905--126.46508789,48.31318665--57.32523727,66.78070831--83.14209747,82.86455536--93.24949646
2976,85.34895325--125.98432159,45.78264999--57.68596268,67.63844299--82.62944794,82.71131897--93.43882751
2977,85.07234192--125.43371582,43.37605667--58.02266312,68.56346130--82.03767395,82.74118042--93.63003540
2978,84.83755493--124.81012726,41.40888977--58.23709106,69.37843323--81.50353241,82.84919739--93.77305603
2979,84.62607574--124.10871887,40.88591385--58.10695267,69.76850891--81.05178070,83.21220398--93.79443359
2980,84.65306854--123.45838165,41.80479813--57.67600632,69.74521637--80.59675598,83.76078033--93.74368286
2981,84.88380432--122.98413849,44.11497116--57.00768280,69.30030823--80.13228607,84.49523926--93.65331268
2982,85.31224060--122.82084656,47.62616348--56.19437790,68.47166443--79.70830536,85.36283112--93.56141663
2983,85.90810394--123.00540924,50.80640030--55.63146591,67.71429443--79.21564484,86.14179993--93.57167053
2984,86.49665833--123.42974854,53.30178452--55.33794022,67.07411194--78.98775482,86.71626282--93.57416534
2985,86.85680389--123.83663177,55.34512329--55.15346527,66.55285645--78.78514862,87.23625946--93.60554504
2986,87.09742737--124.18430328,56.96915436--54.99385834,66.14408875--78.66036987,87.62051392--93.63902283
2987,87.24976349--124.51576996,58.26858902--54.84809494,65.77816010--78.68387604,87.83052063--93.64230347
2988,87.33302307--124.83257294,59.35879517--54.72359085,65.42887115--78.81226349,87.95555115--93.62348175
2989,87.38050079--125.13044739,60.14907837--54.67049026,65.13404846--78.99086761,87.98310852--93.58185577
2990,87.38867188--125.39971161,60.78362656--54.64200974,64.86190796--79.22293091,87.96652222--93.50785065
2991,87.37689209--125.63573456,61.31517792--54.62261963,64.61328888--79.47048187,87.92259216--93.42674255
2992,87.35455322--125.86164093,61.77854919--54.60862350,64.37688446--79.74808502,87.83670044--93.33524323
2993,87.32044983--126.08734894,62.18759155--54.60302734,64.14483643--80.06333923,87.71282959--93.23306274
2994,87.27966309--126.29831696,62.50592422--54.61217499,63.93598175--80.38780975,87.56762695--93.13075256
2995,87.23368835--126.49721527,62.74895096--54.62970352,63.74827576--80.72070312,87.40056610--93.02857971
2996,87.18310547--126.68235779,62.92062378--54.65475082,63.58267212--81.05443573,87.21897888--92.93096924
2997,87.12843323--126.86168671,63.01897049--54.68915939,63.43737411--81.39502716,87.01367950--92.83668518
2998,87.06776428--127.03778839,63.01119995--54.74078369,63.31904984--81.74703979,86.77532959--92.74635315
2999,87.00024414--127.19364166,62.84841537--54.81580353,63.24783325--82.08936310,86.51575470--92.66918945
3000,86.92527008--127.32492828,62.50608444--54.91602707,63.23306274--82.41378021,86.23214722--92.60890198
3001,86.84052277--127.42683411,61.95701981--55.04531479,63.28337860--82.71479034,85.92352295--92.56917572
3002,86.74424744--127.49695587,61.15229416--55.21204376,63.41204071--82.99074554,85.57810974--92.55270386
3003,86.63198853--127.52629089,60.00789261--55.42985153,63.64319229--83.23619843,85.18270874--92.56553650
3004,86.49122620--127.50089264,58.50311661--55.69770432,63.98386002--83.44403839,84.74789429--92.61457825
3005,86.31877899--127.41661835,56.65592194--56.00988388,64.43074799--83.60805511,84.28043365--92.70120239
3006,86.11177063--127.27258301,54.50048828--56.36028671,64.97604370--83.72574615,83.79066467--92.82459259
3007,85.90169525--127.03815460,52.16980362--56.73955536,65.61463165--83.65695190,83.35877991--92.97940826
3008,85.70156860--126.69786835,49.70988846--57.12345886,66.34582520--83.37047577,83.01661682--93.15158081
3009,85.49011230--126.25078583,47.18232346--57.47797012,67.14425659--82.91907501,82.76559448--93.32821655
3010,85.22569275--125.75074005,44.67930984--57.84776306,68.05541992--82.36882782,82.71331024--93.52900696
3011,84.96741486--125.16912842,42.38216782--58.14961624,68.95886230--81.79780579,82.76544189--93.70521545
3012,84.72361755--124.50640869,41.03977585--58.21313858,69.58866119--81.30293274,82.99177551--93.79463196
3013,84.62026978--123.81369781,41.14225388--57.94845200,69.80356598--80.84680176,83.43822479--93.78042603
3014,84.73565674--123.22135162,42.68597031--57.40144730,69.59355164--80.38379669,84.07252502--93.70515442
3015,85.05245972--122.87229156,45.66654968--56.62922668,68.93722534--79.94790649,84.88677979--93.60281372
3016,85.58010864--122.87693787,49.09641647--55.91947174,68.12620544--79.47147369,85.72727966--93.56584930
3017,86.18867493--123.19176483,51.97585678--55.48912430,67.41957092--79.09902191,86.41250610--93.57695007
3018,86.68247986--123.61927032,54.26582718--55.24263382,66.81712341--78.90338135,86.94927979--93.57523346
3019,86.97351074--124.00204468,56.12445450--55.08207321,66.35664368--78.71965027,87.42934418--93.62348938
3020,87.17523193--124.33725739,57.58334732--54.92683792,65.97594452--78.65645599,87.73014832--93.64387512
3021,87.29341888--124.66072845,58.79558945--54.78405380,65.61533356--78.73316193,87.89982605--93.63670349
3022,87.36012268--124.96790314,59.73086929--54.69619370,65.29583740--78.88172913,87.97634888--93.61041260
3023,87.38769531--125.25542450,60.44459915--54.65619278,65.01029968--79.09229279,87.97756958--93.54987335
3024,87.38409424--125.50981140,61.03237915--54.63277054,64.74685669--79.33485413,87.94852448--93.47134399
3025,87.36753082--125.73816681,61.52939606--54.61603546,64.50579834--79.59246826,87.88833618--93.38663483
3026,87.34008789--125.96427917,61.97142029--54.60465622,64.27056122--79.88784027,87.78425598--93.28971100
3027,87.30302429--126.18181610,62.33693695--54.60622787,64.05018616--80.20516205,87.65210724--93.18815613
3028,87.25994873--126.38835907,62.62242508--54.61896896,63.85012054--80.53514862,87.49517059--93.08496094
3029,87.21139526--126.58232880,62.83428574--54.64008713,63.67113113--80.87118530,87.31987762--92.98390198
3030,87.15886688--126.76368713,62.97393417--54.66905975,63.51470184--81.20717621,87.12948608--92.88802338
3031,87.10166931--126.94248199,63.03097534--54.71001053,63.37952423--81.55392456,86.90937805--92.79486084
3032,87.03836060--127.10923004,62.95825577--54.77135468,63.28135300--81.90081024,86.66329956--92.71040344
3033,86.96804047--127.25514984,62.72001266--54.85692978,63.23389053--82.23584747,86.39279175--92.64014435
3034,86.88898468--127.37451935,62.28654099--54.97026443,63.24742126--82.55128479,86.09678650--92.58839417
3035,86.79879761--127.46260071,61.62891388--55.11534119,63.33093262--82.84209442,85.77308655--92.55868530
3036,86.69606018--127.51610565,60.67993546--55.30385971,63.50295639--83.10588074,85.40537262--92.55442047
3037,86.57188416--127.52181244,59.38109207--55.54319763,63.78119659--83.33498383,84.99363708--92.58291626
3038,86.41859436--127.47075653,57.72305298--55.83124161,64.16961670--83.52277374,84.54363251--92.64846802
3039,86.23158264--127.35945892,55.72832489--56.16220474,64.66320801--83.66525269,84.06391907--92.75190735
3040,86.01174164--127.18513489,53.44769669--56.52935028,65.25313568--83.74797058,83.57311249--92.89153290
3041,85.80990601--126.89769745,51.07403183--56.91577530,65.93314362--83.55263519,83.19308472--93.05643463
3042,85.60752869--126.51148224,48.57495499--57.28847122,66.69780731--83.18953705,82.89019012--93.23112488
3043,85.37701416--126.03469849,46.04199219--57.64591599,67.54237366--82.68575287,82.71421814--93.41714478
3044,85.09718323--125.49075317,43.61386871--57.98970413,68.47118378--82.09031677,82.73858643--93.61122131
3045,84.86495209--124.87546539,41.51310349--58.23633957,69.32552338--81.54911804,82.82003784--93.76538086
3046,84.62972260--124.17505646,40.85630417--58.13576508,69.75196838--81.10015106,83.16362000--93.79534912
3047,84.63745117--123.51679230,41.63623428--57.73283768,69.76922607--80.64829254,83.69207764--93.75148010
3048,84.84954071--123.01855469,43.78019333--57.09384537,69.37625122--80.17646790,84.40661621--93.66594696
3049,85.25228119--122.81635284,47.29296112--56.26103592,68.54818726--79.76454926,85.27914429--93.56147766
3050,85.84687805--122.97354889,50.53105545--55.67225266,67.78115845--79.25211334,86.07671356--93.57212830
3051,86.44932556--123.38715363,53.07069016--55.36508942,67.13743591--79.00080872,86.66531372--93.57736969
3052,86.82902527--123.79631042,55.14925766--55.17088318,66.60295105--78.80046844,87.18722534--93.60028839
3053,87.07685089--124.14761353,56.81626511--55.00985718,66.18482208--78.66506195,87.59011841--93.63665771
3054,87.23742676--124.48227692,58.14196777--54.86269760,65.81567383--78.67675018,87.81098175--93.64256287
3055,87.32528687--124.80221558,59.26734543--54.73160553,65.45948029--78.80016327,87.94686127--93.62522888
3056,87.37748718--125.10124207,60.07839203--54.67449188,65.16240692--78.96936035,87.98399353--93.58843994
3057,87.38955688--125.37283325,60.72303391--54.64445877,64.88964081--79.19612122,87.97097778--93.51654053
3058,87.37908936--125.61136627,61.26355362--54.62416458,64.63893890--79.44214630,87.92976379--93.43594360
3059,87.35762024--125.83821106,61.73324203--54.60958481,64.40132904--79.71714020,87.84739685--93.34533691
3060,87.32410431--126.06611633,62.15176010--54.60268402,64.16649628--80.03237152,87.72520447--93.24295044
3061,87.28383636--126.27772522,62.47722626--54.61101913,63.95589828--80.35509491,87.58331299--93.14106750
3062,87.23870087--126.47684479,62.72688675--54.62759018,63.76689911--80.68566895,87.41927338--93.03915405
3063,87.18870544--126.66303253,62.90629196--54.65157700,63.59917450--81.01867676,87.23947144--92.94118500
3064,87.13451385--126.84308624,63.01350784--54.68476486,63.45141602--81.35867310,87.03665161--92.84642792
3065,87.07426453--127.02135468,63.01882172--54.73456192,63.32880783--81.71223450,86.79962158--92.75475311
3066,87.00724030--127.17911530,62.87182999--54.80736923,63.25263977--82.05598450,86.54266357--92.67620087
3067,86.93315125--127.31249237,62.55050278--54.90439224,63.23163605--82.38159943,86.26277924--92.61425781
3068,86.84980774--127.41750336,62.02639771--55.02998734,63.27445221--82.68446350,85.95765686--92.57231140
3069,86.75512695--127.49138641,61.25163651--55.19232559,63.39406586--82.96305847,85.61651611--92.55314636
3070,86.64511871--127.52581787,60.13936615--55.40568924,63.61523056--83.21237946,85.22428894--92.56260681
3071,86.50672150--127.50600433,58.66907883--55.66889572,63.94506073--83.42494202,84.79302979--92.60800171
3072,86.33721924--127.42798615,56.85953903--55.97601700,64.38011169--83.59419250,84.32931519--92.69065857
3073,86.13417816--127.29056549,54.73906326--56.32192230,64.91423798--83.71687317,83.84214783--92.81004333
3074,85.92277527--127.06813812,52.41794968--56.69911194,65.54356384--83.67736053,83.39850616--92.96215820
3075,85.72308350--126.73746490,49.96713638--57.08514404,66.26740265--83.40719604,83.04811096--93.13362122
3076,85.51296997--126.30115509,47.43737411--57.44454956,67.06174469--82.97132111,82.78653717--93.31063080
3077,85.25389862--125.80593109,44.92369461--57.81328201,67.96166992--82.42998505,82.71011353--93.50914001
3078,84.98999023--125.23224640,42.59961319--58.12358475,68.87010193--81.85517120,82.75650024--93.68891907
3079,84.74780273--124.57929230,41.10802078--58.22348404,69.54405212--81.35081482,82.95521545--93.79151917
3080,84.61907959--123.88242340,41.06587601--57.98965836,69.80020905--80.89446259,83.38441467--93.78514099
3081,84.71476746--123.27350616,42.46975327--57.46719742,69.63294220--80.43150330,84.00091553--93.71459198
3082,85.01248169--122.89339447,45.30425262--56.71560669,69.02330017--79.98807526,84.79798889--93.61395264
3083,85.51935577--122.85974884,48.75529861--55.98125458,68.20800018--79.52259827,85.64414978--93.56469727
3084,86.12511444--123.14607239,51.70665359--55.52061844,67.48864746--79.12345123,86.35064697--93.57588196
3085,86.64476013--123.57641602,54.04420090--55.26031876,66.87022400--78.93073273,86.88845825--93.56869507
3086,86.94619751--123.96755981,55.95303726--55.09937668,66.39792633--78.73699951,87.38713837--93.61961365
3087,87.15850067--124.30399323,57.44911957--54.94229126,66.01277161--78.65612030,87.70813751--93.64311981
3088,87.28466797--124.62782288,58.67952347--54.79805756,65.65222168--78.71950531,87.88674927--93.63875580
3089,87.35516357--124.93610382,59.64545441--54.70206070,65.32764435--78.86239624,87.97354126--93.61477661
3090,87.38677979--125.22697449,60.37572479--54.65937424,65.03947449--79.06822968,87.97826385--93.55745697
3091,87.38493347--125.48561859,60.97584915--54.63497543,64.77262878--79.31055450,87.95169830--93.47928619
3092,87.36938477--125.71530151,61.48107910--54.61766815,64.52980804--79.56529999,87.89619446--93.39565277
3093,87.34339905--125.94071960,61.92779541--54.60553360,64.29479980--79.85546112,87.79695129--93.30027771
3094,87.30727386--126.15924072,62.30233383--54.60541534,64.07256317--80.17078400,87.66754150--93.19904327
3095,87.26480865--126.36717987,62.59591293--54.61718750,63.87024689--80.49990082,87.51261902--93.09582520
3096,87.21661377--126.56318665,62.81556320--54.63759613,63.68854523--80.83674622,87.33816528--92.99401855
3097,87.16435242--126.74547577,62.96253586--54.66578293,63.52982330--81.17269897,87.14982605--92.89763641
3098,87.10778046--126.92407990,63.02972794--54.70503235,63.39228821--81.51764679,86.93369293--92.80430603
3099,87.04528046--127.09244537,62.97316360--54.76379013,63.28950500--81.86468506,86.69047546--92.71873474
3100,86.97584534--127.24092102,62.75388336--54.84664917,63.23618317--82.20130920,86.42247772--92.64675140
3101,86.89781189--127.36360168,62.34097672--54.95719910,63.24307632--82.51950836,86.12844086--92.59278107
3102,86.80866241--127.45502472,61.70763016--55.09883881,63.31894684--82.81327057,85.80787659--92.56066895
3103,86.70722198--127.51245117,60.79350281--55.28203201,63.48041916--83.08023834,85.44564819--92.55351257
3104,86.58592224--127.52375031,59.53446960--55.51565552,63.74668121--83.31311798,85.03872681--92.57823944
3105,86.43620300--127.47894287,57.91408920--55.79876709,64.12359619--83.50521088,84.59255981--92.63978577
3106,86.25315094--127.37381744,55.95045090--56.12601852,64.60739136--83.65207672,84.11502075--92.73941040
