,Coin 0,Coin 1,Coin 2,Coin 3
152,86.51130676--127.50709534,58.68960571--55.66576004,63.94106293--83.42063141,84.79794312--92.60695648
153,86.34144592--127.42718506,56.84693527--55.97885513,64.38549042--83.58863831,84.32750702--92.69100952
154,86.13316345--127.28805542,54.71346664--56.32600021,64.92182922--83.71460724,83.83808136--92.81153107
155,85.91833496--127.06782532,52.41804886--56.69843674,65.54218292--83.67974091,83.39801788--92.96218109
156,85.72044373--126.74234772,49.99399948--57.08057022,66.25716400--83.41608429,83.04885101--93.13141632
157,85.51422119--126.30765533,47.47168350--57.44014359,67.04999542--82.98044586,82.78921509--93.30879211
158,85.25949860--125.80869293,44.95303726--57.80957413,67.95320892--82.43067169,82.71645355--93.50890350
159,84.99743652--125.23143005,42.61024094--58.12250519,68.86991882--81.84619904,82.76322937--93.68956757
160,84.75156403--124.57766724,41.09687424--58.22443390,69.54929352--81.34353638,82.95407104--93.79084778
161,84.61689758--123.88108063,41.02167892--57.99631119,69.81275940--80.89462280,83.37158966--93.78469086
162,84.70441437--123.27025604,42.41882324--57.47478104,69.64528656--80.44059753,83.98580933--93.71408081
163,85.00028992--122.89028168,45.29284668--56.71544647,69.02271271--80.00298309,84.79068756--93.61235046
164,85.51416016--122.86289978,48.79082870--55.97455978,68.19390106--79.53399658,85.64768982--93.56430054
165,86.12993622--123.15656281,51.73590088--55.52038574,67.47817230--79.12554169,86.35650635--93.57859802
166,86.65007019--123.58249664,54.04572678--55.26578903,66.87059784--78.92385101,86.89370728--93.57103729
167,86.94888306--123.96663666,55.93532944--55.10430527,66.40443420--78.73030853,87.38752747--93.61957550
168,87.15803528--124.30131531,57.43113708--54.94452667,66.01824188--78.65483856,87.70437622--93.64186859
169,87.28248596--124.62831879,58.67482376--54.79751205,65.65196991--78.72510529,87.88142395--93.63658142
170,87.35298157--124.93869019,59.64720535--54.70201492,65.32475281--78.86889648,87.96998596--93.61326599
171,87.38581848--125.22756195,60.37479019--54.66027832,65.03875732--79.06977081,87.97851562--93.55740356
172,87.38528442--125.48314667,60.97062683--54.63576889,64.77517700--79.30680084,87.95416260--93.48052979
173,87.37016296--125.71236420,61.47588348--54.61775208,64.53296661--79.56079865,87.89799500--93.39694214
174,87.34362030--125.94047546,61.92682266--54.60519791,64.29544067--79.85510254,87.79592896--93.30026245
